"Jan 18, 2019
Price Changed
BRIGHT MLS #1002047912 $110,000 —"
"Jan 11, 2019
Price Changed
BRIGHT MLS #1002047912 $114,500 —"
"Nov 8, 2018
Relisted (Active)
BRIGHT MLS #1002047912 — —"
"Oct 11, 2018
Price Changed
BRIGHT MLS #1002047912 $119,900 —"
"Sep 12, 2018
Price Changed
BRIGHT MLS #1002047912 $124,900 —"
"Jul 16, 2018
Listed (Active)
BRIGHT MLS #1002047912 $129,900 —"
"Jul 16, 2018
Delisted (Expired)
BRIGHT MLS #1002047912 — —"
